pitcher,annual_rate,total_gs,seasons_used,Apr_rate,Apr_gs,Apr_lift,May_rate,May_gs,May_lift,Jun_rate,Jun_gs,Jun_lift,Jul_rate,Jul_gs,Jul_lift,Aug_rate,Aug_gs,Aug_lift,Sep_rate,Sep_gs,Sep_lift,player_name,rank,xfp_rp3_per_start_sched,gs_to,remaining_weights,ros_weighted_lift_pct
641482,13.325,85,5,13.919,16,4.5,15.053,15,13.0,,11,,10.585,13,-20.6,13.911,18,4.4,14.283,12,7.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.4
686752,11.3,62,3,,11,,11.958,12,5.8,,10,,,9,,10.845,11,-4.0,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.4
500779,10.127,165,7,10.0,27,-1.3,9.358,26,-7.6,8.3,27,-18.0,10.945,22,8.1,10.8,36,6.6,11.256,27,11.1,"Quintana, Jose",166.0,7.17,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.4
605135,12.113,172,7,11.608,26,-4.2,13.384,32,10.5,11.953,38,-1.3,10.577,30,-12.7,13.029,28,7.6,12.061,18,-0.4,"Bassitt, Chris",151.0,7.97,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.3
542881,10.427,170,7,10.676,29,2.4,10.41,30,-0.2,10.042,31,-3.7,15.089,27,44.7,7.039,31,-32.5,9.718,22,-6.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.3
434671,11.594,64,3,,6,,,4,,,10,,11.046,13,-4.7,10.976,17,-5.3,12.85,14,10.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.3
641745,8.25,103,5,7.524,21,-8.8,6.153,19,-25.4,5.99,21,-27.4,12.126,19,47.0,8.4,19,1.8,,4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.3
669923,13.129,107,4,,10,,13.547,17,3.2,13.26,20,1.0,15.286,21,16.4,12.332,19,-6.1,11.46,20,-12.7,"Kirby, George",31.0,12.06,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.2
605200,7.265,114,5,6.886,21,-5.2,9.741,17,34.1,8.583,23,18.1,6.415,13,-11.7,6.794,16,-6.5,5.354,24,-26.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.2
543475,8.884,128,5,7.915,20,-10.9,11.0,27,23.8,7.53,20,-15.2,7.595,20,-14.5,7.718,22,-13.1,11.032,19,24.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.1
608344,9.47,84,5,9.644,18,1.8,11.433,12,20.7,8.25,20,-12.9,,10,,9.114,14,-3.8,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.0
573186,10.244,156,7,10.093,30,-1.5,13.048,27,27.4,10.591,22,3.4,8.409,32,-17.9,9.396,26,-8.3,10.342,19,1.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.0
641778,9.719,113,6,11.114,14,14.4,6.894,18,-29.1,7.471,24,-23.1,11.138,21,14.6,8.761,18,-9.9,13.756,18,41.5,"Lauer, Eric",160.0,7.9,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.1
547179,10.544,89,5,9.927,15,-5.9,13.295,20,26.1,8.862,21,-16.0,,8,,9.985,13,-5.3,10.542,12,-0.0,"Lorenzen, Michael",137.0,8.38,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.1
663556,14.767,69,3,,10,,16.737,16,13.3,13.98,15,-5.3,13.875,12,-6.0,,9,,,7,,"McClanahan, Shane",44.0,11.32,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.2
664062,11.548,64,5,,4,,12.962,16,12.2,12.0,13,3.9,9.413,15,-18.5,12.0,12,3.9,,4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.2
471911,9.905,122,7,9.611,28,-3.0,12.659,22,27.8,6.805,20,-31.3,9.917,18,0.1,9.279,19,-6.3,11.327,15,14.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.2
593958,10.809,162,7,11.164,28,3.3,10.559,29,-2.3,10.99,21,1.7,11.233,21,3.9,10.223,26,-5.4,10.803,37,-0.1,"Rodriguez, Eduardo",141.0,8.21,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.4
543243,13.012,187,7,13.252,29,1.8,13.403,35,3.0,12.452,29,-4.3,9.994,34,-23.2,16.012,33,23.1,12.985,27,-0.2,"Gray, Sonny",119.0,8.97,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.5
656427,13.025,164,7,13.065,26,0.3,13.653,30,4.8,9.162,26,-29.7,13.658,24,4.9,14.966,29,14.9,13.338,29,2.4,"Flaherty, Jack",110.0,9.22,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.8
642547,13.586,147,7,14.121,28,3.9,12.217,24,-10.1,14.75,22,8.6,12.321,24,-9.3,14.624,29,7.6,13.21,20,-2.8,"Peralta, Freddy",20.0,12.8,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.8
664192,10.824,66,4,,10,,9.964,14,-7.9,12.109,11,11.9,,8,,,11,,9.983,12,-7.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.8
641816,11.462,119,7,12.374,31,8.0,11.169,29,-2.6,14.245,20,24.3,7.419,16,-35.3,12.567,12,9.6,,11,,"Mahle, Tyler",97.0,9.68,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-0.9
669456,15.496,116,6,16.857,21,8.8,12.543,21,-19.1,16.283,23,5.1,14.071,14,-9.2,17.85,16,15.2,15.381,21,-0.7,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.0
621111,13.455,126,6,14.0,19,4.1,13.641,29,1.4,10.942,19,-18.7,14.181,16,5.4,15.13,23,12.5,12.545,20,-6.8,"Buehler, Walker",165.0,7.56,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.3
592789,11.185,92,4,10.368,19,-7.3,9.376,21,-16.2,,8,,,8,,9.829,21,-12.1,13.567,15,21.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.4
571945,10.556,195,7,10.743,30,1.8,13.009,33,23.2,10.2,31,-3.4,10.319,32,-2.2,8.124,33,-23.0,10.897,36,3.2,"Mikolas, Miles",162.0,7.56,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.4
608331,14.287,157,6,14.04,25,-1.7,15.263,27,6.8,14.369,26,0.6,10.847,19,-24.1,12.845,31,-10.1,17.314,29,21.2,"Fried, Max",23.0,12.67,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.4
547943,12.972,86,5,15.3,14,17.9,18.879,14,45.5,,10,,,10,,10.121,19,-22.0,10.542,19,-18.7,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.5
592332,13.467,196,7,13.983,36,3.8,13.979,38,3.8,12.325,32,-8.5,12.211,27,-9.3,14.336,33,6.5,13.59,30,0.9,"Gausman, Kevin",17.0,13.06,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.5
621107,11.06,148,7,12.321,24,11.4,11.85,34,7.1,10.718,34,-3.1,6.843,21,-38.1,14.043,14,27.0,11.124,21,0.6,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.6
434378,16.025,159,6,17.415,20,8.7,16.384,31,2.2,14.719,26,-8.1,16.104,25,0.5,15.559,27,-2.9,16.21,30,1.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.6
664299,11.94,75,5,15.25,12,27.7,11.828,18,-0.9,,9,,,9,,9.743,14,-18.4,13.7,13,14.7,"Javier, Cristian",174.0,6.59,3.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.6
425844,12.037,139,5,12.531,26,4.1,13.161,28,9.3,10.841,22,-9.9,12.457,23,3.5,10.635,23,-11.7,12.312,17,2.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.7
579328,9.811,172,6,9.666,29,-1.5,11.327,33,15.5,9.742,31,-0.7,9.876,25,0.7,10.467,30,6.7,7.104,24,-27.6,"Kikuchi, Yusei",69.0,10.39,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.8
571510,11.601,128,6,12.708,25,9.5,12.154,26,4.8,10.3,24,-11.2,15.693,15,35.3,11.748,21,1.3,7.171,17,-38.2,"Boyd, Matthew",41.0,11.41,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-1.9
668881,13.709,82,4,13.753,19,0.3,12.584,19,-8.2,11.227,15,-18.1,,8,,12.044,9,-12.1,17.708,12,29.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.0
656288,9.48,92,5,7.8,16,-17.7,11.02,25,16.2,10.992,25,15.9,6.208,12,-34.5,,4,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.0
640455,11.713,141,7,13.408,25,14.5,9.51,20,-18.8,14.655,20,25.1,12.496,24,6.7,7.724,25,-34.1,12.593,27,7.5,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.1
641927,12.204,105,5,15.0,13,22.9,11.082,17,-9.2,10.02,20,-17.9,14.021,14,14.9,10.415,20,-14.7,13.952,21,14.3,"Ober, Bailey",99.0,9.62,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.2
571760,10.42,157,7,11.252,23,8.0,10.164,25,-2.5,10.406,33,-0.1,9.859,22,-5.4,10.911,35,4.7,9.516,19,-8.7,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.4
548389,10.35,86,6,10.992,13,6.2,8.256,18,-20.2,14.62,15,41.3,8.984,25,-13.2,,3,,8.183,12,-20.9,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.4
543037,17.684,175,6,20.0,28,13.1,17.185,26,-2.8,15.167,30,-14.2,17.503,30,-1.0,17.231,29,-2.6,19.003,32,7.5,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.6
607067,10.032,74,3,11.073,11,10.4,8.013,15,-20.1,10.085,13,0.5,11.5,14,14.6,,10,,9.055,11,-9.7,"Rea, Colin",79.0,10.05,4.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.8
543101,11.066,104,6,13.067,18,18.1,8.639,18,-21.9,12.015,20,8.6,11.621,14,5.0,9.761,18,-11.8,11.344,16,2.5,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-2.8
527048,8.434,147,7,8.484,31,0.6,11.404,27,35.2,7.21,21,-14.5,6.531,26,-22.6,8.596,25,1.9,7.812,17,-7.4,"Pérez, Martín",148.0,8.07,4.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.0
543135,12.706,150,7,14.335,31,12.8,14.955,20,17.7,13.175,20,3.7,14.226,27,12.0,10.623,26,-16.4,9.177,26,-27.8,"Eovaldi, Nathan",24.0,12.42,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.0
605397,12.823,139,6,15.6,19,21.7,10.93,23,-14.8,12.681,26,-1.1,13.146,24,2.5,12.212,26,-4.8,12.948,21,1.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.0
621244,11.971,218,7,13.611,37,13.7,12.108,39,1.1,13.647,36,14.0,11.859,37,-0.9,8.389,36,-29.9,12.176,33,1.7,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.0
670912,9.041,59,4,,6,,,8,,,10,,,9,,,10,,8.762,16,-3.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.1
669302,13.941,144,5,16.663,19,19.5,11.977,22,-14.1,14.17,23,1.6,14.3,25,2.6,10.892,26,-21.9,15.89,29,14.0,"Gilbert, Logan",16.0,12.87,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.1
670950,9.026,50,4,,10,,,5,,8.743,14,-3.1,,8,,,5,,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.1
680694,12.605,62,4,,4,,10.927,15,-13.3,9.558,12,-24.2,,5,,,10,,15.837,16,25.6,"Bradish, Kyle",82.0,10.02,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.3
641154,12.855,151,7,14.362,29,11.7,13.006,32,1.2,13.929,24,8.4,11.786,22,-8.3,13.09,21,1.8,10.43,23,-18.9,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.3
666142,14.315,61,4,,11,,,8,,,6,,,4,,13.569,16,-5.2,14.05,16,-1.8,"Ragans, Cole",27.0,12.17,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.5
665871,9.676,50,4,,6,,,6,,,4,,,3,,9.9,15,2.3,8.762,16,-9.4,"Assad, Javier",157.0,7.72,3.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.6
607074,13.592,155,7,16.713,24,23.0,14.624,21,7.6,12.996,26,-4.4,14.121,28,3.9,13.144,25,-3.3,10.858,31,-20.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.7
592314,11.459,74,3,,10,,9.312,17,-18.7,9.662,13,-15.7,,9,,13.773,15,20.2,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.8
682243,12.137,71,3,,10,,10.664,14,-12.1,,11,,,7,,13.857,14,14.2,10.267,15,-15.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-3.9
675911,15.015,71,3,,5,,,6,,14.075,16,-6.3,16.513,15,10.0,12.14,15,-19.2,14.943,14,-0.5,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.0
624133,12.259,111,5,,9,,11.67,20,-4.8,15.214,22,24.1,8.62,15,-29.7,12.14,20,-1.0,11.196,25,-8.7,"Suarez, Ranger",68.0,10.41,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.0
605488,11.42,60,4,,8,,,10,,,8,,,9,,10.96,15,-4.0,,10,,"Springs, Jeffrey",81.0,10.05,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.0
650633,13.273,55,4,,11,,,8,,,11,,,4,,,8,,12.746,13,-4.0,"King, Michael",50.0,11.04,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.0
592351,11.02,147,6,11.373,26,3.2,11.94,30,8.3,11.779,29,6.9,12.696,25,15.2,11.411,18,3.5,5.353,19,-51.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.0
676664,9.085,95,4,11.22,15,23.5,9.071,17,-0.2,7.144,16,-21.4,12.427,15,36.8,7.871,17,-13.4,7.073,15,-22.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.2
641540,9.845,88,4,11.319,16,15.0,10.767,18,9.4,9.1,19,-7.6,7.377,13,-25.1,10.664,14,8.3,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.4
625643,11.0,97,4,13.787,15,25.3,8.541,17,-22.4,10.957,14,-0.4,9.02,15,-18.0,10.117,18,-8.0,13.567,18,23.3,"López, Reynaldo",89.0,9.89,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.4
669432,10.77,92,5,11.261,18,4.6,8.131,16,-24.5,10.717,18,-0.5,10.4,18,-3.4,,10,,11.483,12,6.6,"Rogers, Trevor",63.0,10.55,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.5
676710,10.746,63,3,,5,,,6,,,10,,13.436,14,25.0,7.072,18,-34.2,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.6
502043,10.537,183,7,12.535,31,19.0,10.906,34,3.5,10.969,29,4.1,10.388,32,-1.4,9.294,32,-11.8,8.836,25,-16.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-4.7
446372,11.748,90,5,10.913,23,-7.1,13.17,20,12.1,,10,,,11,,,11,,9.54,15,-18.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.0
607625,12.444,87,4,13.56,15,9.0,13.738,13,10.4,14.172,18,13.9,13.643,14,9.6,6.124,17,-50.8,,10,,"Lugo, Seth",66.0,10.21,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.0
693433,14.517,69,3,,4,,,11,,13.069,13,-10.0,10.477,13,-27.8,18.957,14,30.6,12.686,14,-12.6,"Woo, Bryan",28.0,12.16,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.0
607200,8.027,123,6,9.563,19,19.1,10.4,20,29.6,8.1,27,0.9,4.115,20,-48.7,8.283,18,3.2,7.763,19,-3.3,"Fedde, Erick",135.0,8.39,4.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.0
657746,13.739,108,5,16.558,19,20.5,16.2,19,17.9,12.742,19,-7.3,12.105,19,-11.9,,12,,11.82,20,-14.0,"Ryan, Joe",25.0,12.6,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.0
452657,9.006,87,3,,8,,9.35,16,3.8,11.006,17,22.2,6.65,14,-26.2,4.924,17,-45.3,10.953,15,21.6,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.1
607192,16.003,89,6,18.24,20,14.0,,10,,15.5,13,-3.1,17.508,13,9.4,14.921,14,-6.8,12.553,19,-21.6,"Glasnow, Tyler",6.0,14.6,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.5
477132,14.608,139,7,18.883,24,29.3,10.063,19,-31.1,15.28,25,4.6,15.206,18,4.1,14.652,25,0.3,13.004,28,-11.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.6
592767,8.594,83,4,8.241,17,-4.1,10.528,18,22.5,,10,,6.25,12,-27.3,8.006,18,-6.8,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.7
656557,9.897,67,5,11.089,19,12.0,11.107,14,12.2,,8,,,4,,,11,,7.909,11,-20.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.7
501985,10.775,104,4,13.413,15,24.5,11.389,18,5.7,11.545,20,7.1,7.98,20,-25.9,11.905,19,10.5,8.142,12,-24.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-5.9
668678,13.419,154,6,16.476,21,22.8,12.674,23,-5.6,9.033,18,-32.7,11.367,30,-15.3,14.112,34,5.2,15.914,28,18.6,"Gallen, Zac",117.0,8.74,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-6.0
622663,11.142,119,6,14.265,20,28.0,13.881,21,24.6,10.435,26,-6.3,4.9,20,-56.0,11.72,15,5.2,12.0,17,7.7,"Severino, Luis",75.0,10.15,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-6.2
572020,12.073,90,4,12.933,15,7.1,16.4,15,35.8,10.08,20,-16.5,9.906,17,-18.0,9.4,14,-22.1,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-7.3
663623,8.64,88,3,,11,,9.869,16,14.2,10.013,15,15.9,8.869,16,2.7,5.419,16,-37.3,6.079,14,-29.6,"Irvin, Jake",92.0,9.66,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-7.7
593334,11.404,82,5,13.264,14,16.3,12.674,19,11.1,7.95,16,-30.3,11.287,16,-1.0,,12,,,5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-8.0
518633,11.23,57,3,,9,,9.093,15,-19.0,,10,,11.143,14,-0.8,,4,,,5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-8.9
457918,9.981,89,3,14.993,14,50.2,8.675,16,-13.1,8.286,14,-17.0,5.02,15,-49.7,11.287,15,13.1,11.933,15,19.6,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-9.3
605164,8.426,105,4,11.326,19,34.4,7.89,20,-6.4,8.572,18,1.7,5.5,13,-34.7,8.555,20,1.5,7.653,15,-9.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-9.5
666129,10.952,56,4,,4,,,10,,10.231,13,-6.6,,10,,9.517,12,-13.1,,7,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-9.8
502042,9.551,69,3,8.307,14,-13.0,8.88,15,-7.0,,11,,,9,,8.327,15,-12.8,,5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-10.2
666201,12.646,69,4,,9,,8.325,16,-34.2,,11,,13.692,12,8.3,,10,,,11,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",-10.6
