rank,player_name,team,pos,own,playoff_fp,pg,pa_tg,fp_pa,slot
325,Tommy Troy,AZ,OF,FA,12.410321841022155,24,1.2271,0.4213973949767118,8.7027
198,Luis Urías,TOR,2B,FA,12.402162217776555,24,1.0839,0.4767568586345816,6.9333
249,Nelson Velázquez,HOU,OF,FA,12.228762880539476,25,1.0771,0.4541365845525755,4.5
253,Hyeseong Kim,LAD,SS,FA,12.07090814017397,25,1.0669,0.4525600577438924,8.3333
156,Miguel Rojas,LAD,2B,FA,12.040518789463029,25,0.9798,0.4915500628480518,7.4
481,Nolan Gorman,STL,3B,FA,12.025915792132768,24,1.6619,0.3015102140154033,5.2407
284,Jake Fraley,TB,OF,FA,12.02231299842862,26,1.0557,0.4380000509479171,4.52
343,Jose Siri,LAA,OF,FA,12.012115077758237,25,1.1538,0.4164366468281587,7.9394
461,Juan Brito,CIN,2B,FA,11.873827184091438,25,1.3736,0.3457724864324822,6.9286
423,Weston Wilson,SEA,3B,FA,11.64295722798696,25,1.2488,0.3729326466363536,7.6207
407,Kyle Higashioka,TEX,C,FA,11.600108725926948,25,1.2083,0.3840141926980699,7.7234
270,Ramón Urías,STL,3B,FA,11.588158542871934,24,1.0798,0.4471568246770981,6.5556
287,Nick Yorke,PIT,3B,FA,11.576819560499704,24,1.1027,0.4374421707513264,5.8889
442,Pedro Pagés,STL,C,FA,11.566924605301157,24,1.3317,0.3619097333390014,8.2857
416,Lenyn Sosa,TOR,2B,FA,11.430048452245115,24,1.2574,0.3787593596656167,5.4333
243,Isiah Kiner-Falefa,BOS,2B,FA,11.388203993984304,25,0.996,0.4573575901198516,7.7714
415,Jase Bowen,SD,OF,FA,11.366020054569894,25,1.2003,0.3787726419918319,8.2105
305,Alex Call,LAD,OF,FA,11.314789130756608,25,1.0487,0.4315739155433054,6.963
301,Ryan Ward,LAD,OF,FA,11.200668605813757,25,1.037,0.432041219124928,7.0588
419,Ha-Seong Kim,ATL,SS,FA,11.116075768559579,25,1.183,0.3758605500780922,8.25
404,Nick Allen,HOU,SS,FA,10.9654148867936,25,1.1367,0.3858683869725908,8.5
347,Zach Cole,HOU,OF,FA,10.901945134198021,25,1.0526,0.4142863436898355,6.1429
464,Leo Rivas,SEA,3B,FA,10.863824219455879,25,1.2684,0.3425993131332664,8.8788
309,Brice Matthews,HOU,OF,FA,10.815792090455536,25,1.0104,0.4281786259087703,7.2407
385,Tyler Heineman,LAA,C,FA,10.766851031720945,25,1.102,0.3908112897176386,8.875
403,Davis Schneider,TOR,OF,FA,10.758169186630173,24,1.1614,0.3859626738788737,6.4167
460,Christian Vázquez,HOU,C,FA,10.721918618101167,25,1.2396,0.3459799489545391,8.7797
398,Max Schuemann,NYY,OF,FA,10.386448490172631,25,1.0709,0.387952133352232,7.0476
468,Victor Scott II,STL,OF,FA,10.273004523500623,24,1.2689,0.3373330090203005,9.0
360,Eli White,BOS,OF,FA,10.23267801527228,25,1.0033,0.4079608498065296,7.2432
465,Hunter Feduccia,LAD,C,FA,10.209747411246086,25,1.1953,0.3416630941603308,8.5091
410,Danny Jansen,TEX,C,FA,10.199697863903294,25,1.0644,0.3833031891733669,7.8611
422,Darell Hernaiz,ATH,SS,FA,10.147526229929596,25,1.0862,0.3736890528421873,8.2778
449,Joey Bart,CWS,C,FA,10.116679046833806,26,1.0883,0.3575328863942283,7.9394
395,Jake Rogers,BOS,C,FA,10.046952338187348,25,1.0343,0.3885508010514298,8.8857
362,Colby Thomas,PHI,OF,FA,10.016778034891908,25,0.9906,0.404473169186025,4.4062
355,David Fry,CLE,OF,FA,9.924605766568293,25,0.9664,0.4107866625235221,4.5854
431,Yoán Moncada,LAA,3B,FA,9.705500687155471,25,1.0555,0.367806752710771,5.125
184,Victor Bericoto,SF,OF,FA,9.541802908510943,25,0.7921,0.4818483983593457,7.8125
378,Austin Wynns,TEX,C,FA,9.521945750655586,25,0.963,0.3955117653439496,8.0476
424,Josh Rojas,KC,3B,FA,9.513082770080558,24,1.0649,0.3722212872132187,7.6667
353,Rodolfo Durán,SD,C,FA,9.458970225723135,25,0.9188,0.4117967011633929,8.8148
328,Derek Hill,PHI,OF,FA,9.433833554554216,25,0.8979,0.4202621028869235,7.7838
478,James Outman,DET,OF,FA,9.344526808527025,26,1.1384,0.3157105386955722,8.6047
257,Jesus Rodriguez,SF,C,FA,9.305443361012877,25,0.8252,0.4510636626763391,8.1429
474,Alex Freeland,LAD,2B,FA,9.284362128644103,25,1.1313,0.3282723284237286,8.678
397,Ronny Mauricio,NYM,SS,FA,9.183509143426374,25,0.9463,0.3881859513231057,8.3333
376,Graham Pauley,MIA,3B,FA,9.095258054389635,25,0.9193,0.3957471142995599,8.4839
352,Sterlin Thompson,COL,OF,FA,8.922312906596773,25,0.8652,0.4124971292924999,7.5263
457,Tyler Callihan,PIT,OF,FA,8.887501304698706,24,1.0621,0.3486607234370079,7.24
426,Jorge Barrosa,AZ,OF,FA,8.763311218805026,24,0.983,0.371452662716388,8.6667
408,J.C. Escarra,NYY,C,FA,8.65801857143639,25,0.9022,0.383862494854196,8.28
475,Tristan Gray,MIN,SS,FA,8.482387296296501,25,1.0461,0.3243432672324444,8.3077
484,Gabriel Arias,NYM,3B,FA,8.28930387365319,25,1.7649,0.187870222078377,6.9167
417,Drew Millas,WSH,C,FA,8.013301452350614,23,0.9212,0.3782071330566281,8.025
399,Denzel Clarke,ATH,OF,FA,7.934875675489428,25,0.8185,0.3877764532920918,8.9412
456,Travis d'Arnaud,LAA,C,FA,7.736445474600658,25,0.8848,0.3497488912568109,7.7647
366,Dustin Harris,HOU,OF,FA,7.706347737414665,25,0.7641,0.4034208997468743,7.3077
479,Thomas Saggese,STL,OF,FA,7.676268819238441,24,1.024,0.3123481778661475,7.3636
373,MJ Melendez,NYM,DH,FA,7.615902190273787,25,0.7651,0.3981650602678754,6.1795
471,Adam Frazier,LAA,2B,FA,7.57906747366614,25,0.918,0.3302425914451477,8.92
386,Orlando Arcia,MIN,SS,FA,6.97732224512472,25,0.7143,0.3907222312823586,6.0
256,Blake Perkins,CLE,OF,FA,6.90361152044944,25,0.6114,0.4516592424239083,7.5217
436,Alex Jackson,MIN,C,FA,6.895709796632837,25,0.7565,0.3646112252020007,8.8333
413,Will Benson,CIN,OF,FA,6.758671571307589,25,0.7124,0.3794874548740926,6.1786
466,Zach Dezenzo,HOU,OF,FA,6.611937521158299,25,0.7831,0.3377314530025948,6.75
294,Jahmai Jones,BOS,DH,FA,5.770025808178217,25,0.5307,0.4348992506635175,3.3571
388,Rafael Marchán,PHI,C,FA,5.734554219543123,25,0.5873,0.3905706943329217,8.6522
421,Bryce Teodosio,LAA,OF,FA,5.333083546699618,25,0.5693,0.3747116491621021,8.9333
427,Ali Sánchez,NYY,C,FA,5.09750509690808,25,0.5498,0.3708625025033161,8.8889
437,Sebastián Rivero,LAA,C,FA,4.701231459277643,25,0.5158,0.3645778564775217,8.25
318,Santiago Espinal,LAD,3B,FA,3.7803312973998606,25,0.3568,0.4238039571076077,8.3333
451,Braxton Fulford,COL,DH,FA,3.4166076187249304,25,0.3865,0.3535945789107302,7.6471
